order_id,release_period,completion_period,arrival_period,due_period,service_class,priority_weight,flow_time_weight,item_count,pick_minutes,pack_minutes,total_volume,flow_time_periods,tardiness_periods
O072,4,5,4,8,standard,3.0,1.6,1,4.86,1.95,1.59,1.0,0.0
O002,4,5,4,9,standard,3.0,1.6,1,4.75,1.92,0.89,1.0,0.0
O041,4,5,4,9,economy,1.0,1.0,1,4.47,2.1,1.07,1.0,0.0
O070,4,5,4,9,standard,3.0,1.6,4,9.32,4.2,6.04,1.0,0.0
O107,4,5,4,10,economy,1.0,1.0,1,4.53,2.01,1.57,1.0,0.0
O017,5,6,5,7,priority,7.0,2.4,1,4.87,2.16,2.85,1.0,0.0
O058,5,6,5,7,priority,7.0,2.4,3,8.25,3.52,4.07,1.0,0.0
O088,5,6,4,7,standard,3.0,1.6,5,14.43,5.64,8.15,2.0,0.0
O063,5,6,5,8,standard,3.0,1.6,1,5.0,2.04,2.66,1.0,0.0
O066,5,6,5,8,standard,3.0,1.6,1,4.53,2.13,1.69,1.0,0.0
O093,5,6,4,8,economy,1.0,1.0,2,6.87,2.98,2.39,2.0,0.0
O067,5,6,5,9,standard,3.0,1.6,3,8.09,3.52,4.95,1.0,0.0
O090,5,6,5,9,standard,3.0,1.6,3,8.48,3.76,5.73,1.0,0.0
O119,5,6,4,9,economy,1.0,1.0,1,4.7,2.12,1.84,2.0,0.0
O035,5,6,4,10,economy,1.0,1.0,1,4.79,2.01,1.23,2.0,0.0
O111,5,6,4,10,economy,1.0,1.0,2,7.0,2.9,3.69,2.0,0.0
O114,5,6,5,10,standard,3.0,1.6,4,10.97,4.69,9.21,1.0,0.0
O079,5,6,5,11,economy,1.0,1.0,1,4.83,2.11,3.04,1.0,0.0
O054,6,7,6,8,priority,7.0,2.4,2,7.24,2.96,3.08,1.0,0.0
O030,6,7,6,10,economy,1.0,1.0,1,4.65,2.05,2.12,1.0,0.0
O040,6,7,6,10,standard,3.0,1.6,4,10.06,4.53,9.79,1.0,0.0
O061,6,7,6,10,priority,7.0,2.4,4,10.61,4.6,7.24,1.0,0.0
O078,6,7,6,10,priority,7.0,2.4,2,7.3,3.04,4.04,1.0,0.0
O081,6,7,6,10,standard,3.0,1.6,2,7.75,3.25,7.47,1.0,0.0
O096,6,7,6,10,standard,3.0,1.6,2,6.13,2.75,3.8,1.0,0.0
O013,6,7,6,11,standard,3.0,1.6,1,4.81,2.17,2.81,1.0,0.0
O049,6,7,6,11,standard,3.0,1.6,2,5.73,2.78,2.8,1.0,0.0
O065,6,7,6,11,standard,3.0,1.6,2,6.85,2.84,2.73,1.0,0.0
O120,6,7,6,11,economy,1.0,1.0,4,10.4,4.36,5.43,1.0,0.0
O001,7,8,7,10,standard,3.0,1.6,3,9.59,3.97,5.37,1.0,0.0
O025,7,8,7,10,standard,3.0,1.6,3,8.81,3.81,8.61,1.0,0.0
O043,7,8,7,10,standard,3.0,1.6,3,8.08,3.64,3.23,1.0,0.0
O053,7,8,7,10,standard,3.0,1.6,2,7.47,3.09,6.74,1.0,0.0
O064,7,8,7,10,standard,3.0,1.6,1,4.54,1.94,1.22,1.0,0.0
O004,7,8,7,11,standard,3.0,1.6,2,6.22,2.73,4.87,1.0,0.0
O007,7,8,7,11,standard,3.0,1.6,1,4.65,2.05,2.63,1.0,0.0
O031,7,8,7,11,priority,7.0,2.4,3,9.38,3.95,4.86,1.0,0.0
O080,7,8,7,11,standard,3.0,1.6,3,9.38,3.94,5.11,1.0,0.0
O092,7,8,7,11,standard,3.0,1.6,1,4.76,2.29,3.5,1.0,0.0
O106,7,8,7,11,priority,7.0,2.4,4,12.04,4.66,6.37,1.0,0.0
O117,7,8,7,11,standard,3.0,1.6,1,4.69,1.99,2.15,1.0,0.0
O118,7,8,7,11,priority,7.0,2.4,3,8.94,3.81,9.36,1.0,0.0
O021,8,9,7,10,standard,3.0,1.6,4,9.34,4.23,6.84,2.0,0.0
O042,8,9,8,10,priority,7.0,2.4,5,13.24,5.51,8.72,1.0,0.0
O003,8,9,8,11,economy,1.0,1.0,2,6.05,2.85,3.95,1.0,0.0
O008,8,9,7,11,economy,1.0,1.0,2,5.84,2.68,2.36,2.0,0.0
O014,8,9,8,11,standard,3.0,1.6,1,4.67,2.05,1.71,1.0,0.0
O019,8,9,8,11,priority,7.0,2.4,1,4.81,2.17,2.8,1.0,0.0
O045,8,9,8,11,standard,3.0,1.6,3,8.09,3.58,4.82,1.0,0.0
O046,8,9,8,11,standard,3.0,1.6,3,8.44,3.73,5.22,1.0,0.0
O073,8,9,8,11,economy,1.0,1.0,1,4.61,2.03,2.46,1.0,0.0
O083,8,9,8,11,standard,3.0,1.6,3,10.04,4.16,8.16,1.0,0.0
O087,8,9,7,11,economy,1.0,1.0,2,6.41,2.86,5.94,2.0,0.0
O102,8,9,7,11,standard,3.0,1.6,4,9.42,4.26,4.75,2.0,0.0
O116,8,9,8,11,priority,7.0,2.4,1,4.53,1.91,0.34,1.0,0.0
O006,10,11,10,11,standard,3.0,1.6,2,7.23,3.02,3.15,1.0,0.0
O012,10,11,9,11,priority,7.0,2.4,1,4.88,2.18,4.41,2.0,0.0
O020,10,11,6,11,economy,1.0,1.0,4,10.21,4.64,12.6,5.0,0.0
O023,10,11,10,11,priority,7.0,2.4,1,4.73,1.99,0.71,1.0,0.0
O024,10,11,9,11,standard,3.0,1.6,2,7.11,3.12,3.85,2.0,0.0
O032,10,11,10,11,priority,7.0,2.4,1,4.79,2.13,1.94,1.0,0.0
O055,10,11,7,11,economy,1.0,1.0,2,7.21,2.97,5.27,4.0,0.0
O056,10,11,7,11,economy,1.0,1.0,2,7.03,3.07,3.05,4.0,0.0
O100,10,11,10,11,standard,3.0,1.6,2,6.89,2.8,2.39,1.0,0.0
O101,10,11,9,11,standard,3.0,1.6,1,4.82,2.08,1.1,2.0,0.0
O104,10,11,10,11,priority,7.0,2.4,1,4.51,2.15,1.43,1.0,0.0
O105,10,11,7,11,standard,3.0,1.6,6,14.4,6.03,10.03,4.0,0.0
O110,10,11,9,11,economy,1.0,1.0,6,13.18,5.86,10.65,2.0,0.0
