order_id,arrival_period,due_period,service_class,priority_weight,flow_time_weight,item_count,zones_touched,total_volume,pick_minutes,pack_minutes,item_volumes_dm3,slack_periods,minimum_completion_period,service_window_width,latest_release_period,feasible_release_count
O069,2,3,priority,7.0,2.4,1,1,1.39,4.66,2.17,1.39,1,3,0,4,3
O115,2,3,priority,7.0,2.4,1,1,1.88,4.67,2.18,1.88,1,3,0,4,3
O007,2,4,priority,7.0,2.4,4,3,4.92,10.57,4.54,"1.40,1.24,1.48,0.80",2,3,1,5,4
O034,2,4,priority,7.0,2.4,3,2,5.84,8.42,3.75,"1.35,2.81,1.68",2,3,1,5,4
O080,2,4,priority,7.0,2.4,4,1,6.44,8.42,3.97,"0.99,1.68,2.15,1.62",2,3,1,5,4
O082,2,4,priority,7.0,2.4,1,1,2.06,4.63,2.22,2.06,2,3,1,5,4
O092,2,4,priority,7.0,2.4,3,2,4.9,8.28,3.68,"1.33,2.37,1.20",2,3,1,5,4
O073,2,4,standard,3.0,1.6,2,1,3.78,6.14,2.68,"2.44,1.34",2,3,1,5,4
O083,2,4,standard,3.0,1.6,3,2,2.88,7.98,3.53,"1.05,0.79,1.04",2,3,1,5,4
O006,2,5,standard,3.0,1.6,1,1,1.92,4.57,1.99,1.92,3,3,2,6,5
O063,2,5,standard,3.0,1.6,2,2,5.96,7.52,3.02,"1.43,4.54",3,3,2,6,5
O098,2,5,standard,3.0,1.6,1,1,1.24,4.64,2.05,1.24,3,3,2,6,5
O101,2,5,standard,3.0,1.6,2,1,3.61,5.85,2.7,"2.15,1.46",3,3,2,6,5
O050,3,4,priority,7.0,2.4,1,1,1.47,4.63,2.17,1.47,1,4,0,5,3
O122,3,4,priority,7.0,2.4,3,2,3.57,8.2,3.53,"1.07,1.42,1.08",1,4,0,5,3
O008,3,5,priority,7.0,2.4,3,2,4.39,8.12,3.69,"1.06,1.53,1.80",2,4,1,6,4
O071,3,5,priority,7.0,2.4,1,1,1.93,4.68,2.13,1.93,2,4,1,6,4
O121,3,5,priority,7.0,2.4,2,1,5.5,5.98,2.89,"3.54,1.97",2,4,1,6,4
O011,3,5,standard,3.0,1.6,2,2,2.86,7.11,2.91,"1.56,1.31",2,4,1,6,4
O028,3,5,standard,3.0,1.6,2,1,2.5,5.84,2.68,"1.53,0.96",2,4,1,6,4
O030,3,5,standard,3.0,1.6,4,3,8.15,11.04,4.72,"2.74,1.28,2.53,1.61",2,4,1,6,4
O047,3,5,standard,3.0,1.6,1,1,1.01,4.76,2.07,1.01,2,4,1,6,4
O091,3,5,standard,3.0,1.6,2,2,4.54,7.3,2.98,"1.93,2.61",2,4,1,6,4
O045,3,6,standard,3.0,1.6,4,2,10.2,9.82,4.53,"3.33,3.18,2.39,1.30",3,4,2,7,5
O084,3,6,standard,3.0,1.6,3,2,3.2,8.14,3.4,"1.25,0.45,1.50",3,4,2,7,5
O089,3,6,standard,3.0,1.6,1,1,0.48,4.39,2.11,0.48,3,4,2,7,5
O113,3,6,standard,3.0,1.6,1,1,1.28,4.66,2.03,1.28,3,4,2,7,5
O078,3,6,economy,1.0,1.0,3,2,9.56,8.74,3.78,"1.16,2.84,5.55",3,4,2,7,5
O119,3,6,economy,1.0,1.0,1,1,1.18,4.54,2.06,1.18,3,4,2,7,5
O043,4,5,priority,7.0,2.4,2,1,4.16,5.84,2.78,"2.55,1.61",1,5,0,6,3
O074,4,5,priority,7.0,2.4,4,3,5.47,10.47,4.42,"1.76,1.11,1.48,1.12",1,5,0,6,3
O031,4,6,priority,7.0,2.4,4,4,10.35,12.29,4.93,"1.10,3.15,2.43,3.67",2,5,1,7,4
O036,4,6,priority,7.0,2.4,1,1,1.56,4.49,2.14,1.56,2,5,1,7,4
O104,4,6,priority,7.0,2.4,2,2,3.5,6.94,2.93,"1.92,1.58",2,5,1,7,4
O106,4,6,priority,7.0,2.4,2,1,3.13,5.93,2.62,"1.71,1.42",2,5,1,7,4
O110,4,6,priority,7.0,2.4,3,3,4.83,9.44,3.86,"2.80,0.50,1.52",2,5,1,7,4
O020,4,7,standard,3.0,1.6,2,2,3.18,7.22,3.07,"2.01,1.17",3,5,2,8,5
O112,4,7,standard,3.0,1.6,2,1,2.25,5.91,2.6,"1.13,1.12",3,5,2,8,5
O017,5,6,priority,7.0,2.4,1,1,1.43,4.57,2.0,1.43,1,6,0,7,3
O061,5,6,priority,7.0,2.4,4,4,5.08,11.56,4.63,"1.45,2.30,0.60,0.72",1,6,0,7,3
O070,5,6,priority,7.0,2.4,1,1,0.84,4.63,2.13,0.84,1,6,0,7,3
O072,5,7,priority,7.0,2.4,2,2,3.87,7.23,2.9,"2.19,1.68",2,6,1,8,4
O085,5,7,priority,7.0,2.4,2,2,4.74,7.17,2.95,"2.84,1.91",2,6,1,8,4
O010,5,7,standard,3.0,1.6,2,2,2.99,7.15,3.05,"1.57,1.42",2,6,1,8,4
O025,5,7,standard,3.0,1.6,1,1,1.82,4.67,2.08,1.82,2,6,1,8,4
O102,5,7,standard,3.0,1.6,3,2,4.78,8.35,3.57,"2.02,1.13,1.63",2,6,1,8,4
O103,5,7,standard,3.0,1.6,3,3,5.53,9.58,3.95,"1.17,1.91,2.45",2,6,1,8,4
O052,5,8,standard,3.0,1.6,2,2,6.73,7.4,3.08,"2.57,4.16",3,6,2,9,5
O105,5,8,standard,3.0,1.6,2,2,5.26,7.19,3.12,"2.77,2.49",3,6,2,9,5
O123,5,8,standard,3.0,1.6,2,2,3.78,7.32,2.98,"1.09,2.68",3,6,2,9,5
O024,5,8,economy,1.0,1.0,2,2,3.21,6.95,3.06,"2.49,0.71",3,6,2,9,5
O022,5,9,economy,1.0,1.0,5,4,8.86,13.11,5.58,"1.67,1.40,1.47,2.01,2.31",4,6,3,10,6
O079,6,7,priority,7.0,2.4,1,1,2.95,4.82,2.23,2.95,1,7,0,8,3
O029,6,8,priority,7.0,2.4,2,2,3.83,7.08,2.93,"2.21,1.61",2,7,1,9,4
O038,6,8,priority,7.0,2.4,1,1,2.68,4.86,2.05,2.68,2,7,1,9,4
O041,6,8,standard,3.0,1.6,1,1,1.34,4.57,1.94,1.34,2,7,1,9,4
O004,6,9,standard,3.0,1.6,1,1,1.32,4.6,2.06,1.32,3,7,2,10,5
O015,6,9,standard,3.0,1.6,3,2,4.03,8.38,3.55,"1.09,1.72,1.22",3,7,2,10,5
O027,6,10,economy,1.0,1.0,1,1,2.3,4.68,2.21,2.30,4,7,3,10,5
O003,7,8,priority,7.0,2.4,1,1,1.03,4.57,2.13,1.03,1,8,0,9,3
O019,7,8,priority,7.0,2.4,2,2,4.05,7.21,3.01,"1.90,2.15",1,8,0,9,3
O002,7,9,priority,7.0,2.4,2,1,5.4,6.29,2.77,"1.93,3.47",2,8,1,10,4
O055,7,9,priority,7.0,2.4,1,1,2.62,5.0,2.25,2.62,2,8,1,10,4
O012,7,9,standard,3.0,1.6,4,1,9.08,8.53,4.29,"3.48,2.53,1.20,1.87",2,8,1,10,4
O013,7,9,standard,3.0,1.6,2,2,4.24,7.12,2.97,"1.91,2.33",2,8,1,10,4
O059,7,9,standard,3.0,1.6,3,2,6.65,8.61,3.6,"2.28,1.58,2.80",2,8,1,10,4
O046,7,10,standard,3.0,1.6,1,1,1.79,4.9,1.97,1.79,3,8,2,10,4
O067,7,10,standard,3.0,1.6,2,2,1.63,6.81,2.87,"1.01,0.62",3,8,2,10,4
O032,7,10,economy,1.0,1.0,1,1,1.96,4.79,2.2,1.96,3,8,2,10,4
O042,7,11,economy,1.0,1.0,2,2,4.15,7.32,2.99,"2.05,2.10",4,8,3,10,4
O014,8,9,priority,7.0,2.4,1,1,0.97,4.58,2.07,0.97,1,9,0,10,3
O018,8,9,priority,7.0,2.4,1,1,1.49,4.52,2.15,1.49,1,9,0,10,3
O076,8,9,priority,7.0,2.4,3,2,5.16,8.44,3.75,"1.25,1.45,2.47",1,9,0,10,3
O124,8,9,priority,7.0,2.4,2,2,3.61,6.99,3.03,"1.53,2.08",1,9,0,10,3
O077,8,10,priority,7.0,2.4,1,1,2.35,4.63,2.2,2.35,2,9,1,10,3
O081,8,10,standard,3.0,1.6,1,1,1.81,4.63,2.08,1.81,2,9,1,10,3
O120,8,10,standard,3.0,1.6,1,1,1.44,4.64,1.97,1.44,2,9,1,10,3
O037,8,11,standard,3.0,1.6,4,4,9.77,12.18,4.91,"2.31,2.41,1.94,3.10",3,9,2,10,3
O056,8,11,standard,3.0,1.6,1,1,1.65,4.83,2.18,1.65,3,9,2,10,3
O057,8,11,standard,3.0,1.6,3,3,4.28,9.52,3.82,"1.58,1.15,1.56",3,9,2,10,3
O097,8,11,standard,3.0,1.6,1,1,1.89,4.55,1.97,1.89,3,9,2,10,3
O107,8,11,standard,3.0,1.6,1,1,1.39,4.84,2.08,1.39,3,9,2,10,3
O118,8,11,standard,3.0,1.6,1,1,0.74,4.63,1.99,0.74,3,9,2,10,3
O125,8,11,standard,3.0,1.6,3,2,7.29,8.62,3.77,"1.12,3.59,2.58",3,9,2,10,3
O023,8,11,economy,1.0,1.0,1,1,2.04,4.67,2.15,2.04,3,9,2,10,3
O009,9,10,priority,7.0,2.4,4,3,5.92,10.78,4.37,"1.64,1.26,1.74,1.27",1,10,0,10,2
O049,9,10,priority,7.0,2.4,4,4,6.09,11.9,4.82,"1.47,1.54,1.25,1.83",1,10,0,10,2
O054,9,11,priority,7.0,2.4,2,2,3.08,7.13,2.84,"0.98,2.09",2,10,1,10,2
O001,9,11,standard,3.0,1.6,2,2,2.63,6.94,3.01,"0.65,1.97",2,10,1,10,2
O016,9,11,standard,3.0,1.6,4,3,6.59,10.87,4.59,"1.05,1.45,2.55,1.55",2,10,1,10,2
O093,9,11,standard,3.0,1.6,2,1,2.98,5.78,2.81,"1.10,1.88",2,10,1,10,2
O117,9,11,standard,3.0,1.6,2,1,3.39,6.04,2.76,"2.18,1.21",2,10,1,10,2
O051,10,11,priority,7.0,2.4,2,2,4.93,7.45,3.0,"2.43,2.49",1,11,0,10,1
O060,10,11,priority,7.0,2.4,6,4,12.2,14.45,6.13,"1.80,3.37,2.56,1.56,1.40,1.51",1,11,0,10,1
O065,10,11,priority,7.0,2.4,3,1,4.18,6.86,3.2,"1.10,2.12,0.96",1,11,0,10,1
O114,10,11,priority,7.0,2.4,1,1,4.22,5.09,2.21,4.22,1,11,0,10,1
O062,10,11,standard,3.0,1.6,3,3,6.85,9.55,3.89,"1.62,3.39,1.84",1,11,0,10,1
