order_id,arrival_period,due_period,service_class,priority_weight,flow_time_weight,item_count,zones_touched,total_volume,pick_minutes,pack_minutes,item_volumes_dm3,slack_periods,minimum_completion_period,service_window_width,latest_release_period,feasible_release_count
O026,2,6,standard,3.0,1.6,2,2,3.48,7.13,2.9,"1.81,1.67",4,3,3,7,6
O039,2,6,standard,3.0,1.6,1,1,1.16,4.69,2.16,1.16,4,3,3,7,6
O051,2,6,standard,3.0,1.6,2,2,2.23,7.12,2.83,"0.73,1.51",4,3,3,7,6
O112,2,7,standard,3.0,1.6,2,1,5.05,5.97,2.84,"2.12,2.93",5,3,4,8,7
O016,2,7,economy,1.0,1.0,1,1,1.41,4.64,2.05,1.41,5,3,4,8,7
O048,3,5,priority,7.0,2.4,1,1,1.96,4.81,1.97,1.96,2,4,1,6,4
O113,3,5,priority,7.0,2.4,1,1,1.03,4.53,1.92,1.03,2,4,1,6,4
O095,3,6,standard,3.0,1.6,1,1,1.84,4.65,2.11,1.84,3,4,2,7,5
O108,3,6,standard,3.0,1.6,3,2,4.38,8.12,3.64,"1.07,1.24,2.07",3,4,2,7,5
O022,3,7,standard,3.0,1.6,2,2,3.63,7.23,2.87,"2.13,1.51",4,4,3,8,6
O034,3,8,standard,3.0,1.6,3,1,6.27,7.25,3.55,"2.06,2.23,1.98",5,4,4,9,7
O077,3,8,standard,3.0,1.6,4,3,5.88,10.65,4.6,"1.47,1.16,1.74,1.51",5,4,4,9,7
O068,3,8,economy,1.0,1.0,2,2,2.81,7.03,2.9,"1.09,1.72",5,4,4,9,7
O076,3,8,economy,1.0,1.0,1,1,2.63,4.86,2.05,2.63,5,4,4,9,7
O011,3,9,economy,1.0,1.0,2,2,4.92,7.25,3.06,"2.86,2.06",6,4,5,10,8
O033,3,9,economy,1.0,1.0,2,2,3.51,7.14,2.95,"1.61,1.90",6,4,5,10,8
O044,3,9,economy,1.0,1.0,2,2,2.71,7.14,2.83,"1.93,0.78",6,4,5,10,8
O097,3,9,economy,1.0,1.0,3,3,6.33,9.52,4.0,"2.61,1.76,1.96",6,4,5,10,8
O062,4,6,priority,7.0,2.4,1,1,1.43,4.68,2.04,1.43,2,5,1,7,4
O082,4,6,priority,7.0,2.4,4,3,6.77,10.91,4.41,"1.74,1.90,1.06,2.07",2,5,1,7,4
O094,4,6,priority,7.0,2.4,2,2,5.57,7.46,3.21,"1.49,4.08",2,5,1,7,4
O015,4,7,standard,3.0,1.6,1,1,0.85,4.64,1.98,0.85,3,5,2,8,5
O038,4,7,standard,3.0,1.6,3,2,5.4,8.15,3.59,"1.29,2.22,1.89",3,5,2,8,5
O088,4,7,standard,3.0,1.6,5,5,8.15,14.43,5.64,"1.91,1.58,1.34,1.94,1.38",3,5,2,8,5
O047,4,8,priority,7.0,2.4,4,3,6.61,10.84,4.4,"0.97,2.39,1.93,1.31",4,5,3,9,6
O010,4,8,standard,3.0,1.6,1,1,0.89,4.69,2.07,0.89,4,5,3,9,6
O027,4,8,standard,3.0,1.6,3,2,7.48,8.73,3.9,"1.27,2.60,3.61",4,5,3,9,6
O057,4,8,standard,3.0,1.6,3,1,4.36,6.92,3.29,"1.72,1.15,1.49",4,5,3,9,6
O072,4,8,standard,3.0,1.6,1,1,1.59,4.86,1.95,1.59,4,5,3,9,6
O093,4,8,economy,1.0,1.0,2,2,2.39,6.87,2.98,"1.24,1.16",4,5,3,9,6
O002,4,9,standard,3.0,1.6,1,1,0.89,4.75,1.92,0.89,5,5,4,10,7
O070,4,9,standard,3.0,1.6,4,2,6.04,9.32,4.2,"1.66,2.88,0.62,0.88",5,5,4,10,7
O041,4,9,economy,1.0,1.0,1,1,1.07,4.47,2.1,1.07,5,5,4,10,7
O119,4,9,economy,1.0,1.0,1,1,1.84,4.7,2.12,1.84,5,5,4,10,7
O035,4,10,economy,1.0,1.0,1,1,1.23,4.79,2.01,1.23,6,5,5,10,7
O107,4,10,economy,1.0,1.0,1,1,1.57,4.53,2.01,1.57,6,5,5,10,7
O111,4,10,economy,1.0,1.0,2,2,3.69,7.0,2.9,"1.61,2.09",6,5,5,10,7
O017,5,7,priority,7.0,2.4,1,1,2.85,4.87,2.16,2.85,2,6,1,8,4
O058,5,7,priority,7.0,2.4,3,2,4.07,8.25,3.52,"2.15,1.37,0.55",2,6,1,8,4
O063,5,8,standard,3.0,1.6,1,1,2.66,5.0,2.04,2.66,3,6,2,9,5
O066,5,8,standard,3.0,1.6,1,1,1.69,4.53,2.13,1.69,3,6,2,9,5
O067,5,9,standard,3.0,1.6,3,2,4.95,8.09,3.52,"1.15,2.23,1.57",4,6,3,10,6
O090,5,9,standard,3.0,1.6,3,2,5.73,8.48,3.76,"1.40,3.31,1.03",4,6,3,10,6
O114,5,10,standard,3.0,1.6,4,3,9.21,10.97,4.69,"2.56,1.91,2.58,2.16",5,6,4,10,6
O079,5,11,economy,1.0,1.0,1,1,3.04,4.83,2.11,3.04,6,6,5,10,6
O054,6,8,priority,7.0,2.4,2,2,3.08,7.24,2.96,"2.29,0.80",2,7,1,9,4
O061,6,10,priority,7.0,2.4,4,3,7.24,10.61,4.6,"3.04,1.37,1.42,1.40",4,7,3,10,5
O078,6,10,priority,7.0,2.4,2,2,4.04,7.3,3.04,"2.89,1.15",4,7,3,10,5
O040,6,10,standard,3.0,1.6,4,2,9.79,10.06,4.53,"3.16,3.04,1.55,2.04",4,7,3,10,5
O081,6,10,standard,3.0,1.6,2,2,7.47,7.75,3.25,"3.69,3.77",4,7,3,10,5
O096,6,10,standard,3.0,1.6,2,1,3.8,6.13,2.75,"2.54,1.26",4,7,3,10,5
O030,6,10,economy,1.0,1.0,1,1,2.12,4.65,2.05,2.12,4,7,3,10,5
O013,6,11,standard,3.0,1.6,1,1,2.81,4.81,2.17,2.81,5,7,4,10,5
O049,6,11,standard,3.0,1.6,2,1,2.8,5.73,2.78,"1.36,1.44",5,7,4,10,5
O065,6,11,standard,3.0,1.6,2,2,2.73,6.85,2.84,"1.15,1.58",5,7,4,10,5
O020,6,11,economy,1.0,1.0,4,2,12.6,10.21,4.64,"5.58,1.92,3.30,1.81",5,7,4,10,5
O120,6,11,economy,1.0,1.0,4,3,5.43,10.4,4.36,"1.71,0.94,1.54,1.24",5,7,4,10,5
O001,7,10,standard,3.0,1.6,3,3,5.37,9.59,3.97,"2.19,1.54,1.64",3,8,2,10,4
O021,7,10,standard,3.0,1.6,4,2,6.84,9.34,4.23,"1.22,2.10,1.18,2.34",3,8,2,10,4
O025,7,10,standard,3.0,1.6,3,2,8.61,8.81,3.81,"5.15,2.11,1.35",3,8,2,10,4
O043,7,10,standard,3.0,1.6,3,2,3.23,8.08,3.64,"1.43,0.82,0.97",3,8,2,10,4
O053,7,10,standard,3.0,1.6,2,2,6.74,7.47,3.09,"2.37,4.37",3,8,2,10,4
O064,7,10,standard,3.0,1.6,1,1,1.22,4.54,1.94,1.22,3,8,2,10,4
O031,7,11,priority,7.0,2.4,3,3,4.86,9.38,3.95,"1.36,2.91,0.59",4,8,3,10,4
O106,7,11,priority,7.0,2.4,4,4,6.37,12.04,4.66,"0.87,2.07,1.82,1.62",4,8,3,10,4
O118,7,11,priority,7.0,2.4,3,2,9.36,8.94,3.81,"3.21,1.39,4.76",4,8,3,10,4
O004,7,11,standard,3.0,1.6,2,1,4.87,6.22,2.73,"1.68,3.19",4,8,3,10,4
O007,7,11,standard,3.0,1.6,1,1,2.63,4.65,2.05,2.63,4,8,3,10,4
O080,7,11,standard,3.0,1.6,3,3,5.11,9.38,3.94,"2.31,2.02,0.78",4,8,3,10,4
O092,7,11,standard,3.0,1.6,1,1,3.5,4.76,2.29,3.50,4,8,3,10,4
O102,7,11,standard,3.0,1.6,4,2,4.75,9.42,4.26,"0.74,0.72,1.72,1.57",4,8,3,10,4
O105,7,11,standard,3.0,1.6,6,4,10.03,14.4,6.03,"1.19,1.35,1.44,1.76,1.51,2.78",4,8,3,10,4
O117,7,11,standard,3.0,1.6,1,1,2.15,4.69,1.99,2.15,4,8,3,10,4
O008,7,11,economy,1.0,1.0,2,1,2.36,5.84,2.68,"1.07,1.29",4,8,3,10,4
O055,7,11,economy,1.0,1.0,2,2,5.27,7.21,2.97,"1.60,3.67",4,8,3,10,4
O056,7,11,economy,1.0,1.0,2,2,3.05,7.03,3.07,"1.17,1.88",4,8,3,10,4
O087,7,11,economy,1.0,1.0,2,1,5.94,6.41,2.86,"3.09,2.84",4,8,3,10,4
O042,8,10,priority,7.0,2.4,5,4,8.72,13.24,5.51,"1.02,1.19,1.93,3.58,1.00",2,9,1,10,3
O019,8,11,priority,7.0,2.4,1,1,2.8,4.81,2.17,2.80,3,9,2,10,3
O116,8,11,priority,7.0,2.4,1,1,0.34,4.53,1.91,0.34,3,9,2,10,3
O014,8,11,standard,3.0,1.6,1,1,1.71,4.67,2.05,1.71,3,9,2,10,3
O045,8,11,standard,3.0,1.6,3,2,4.82,8.09,3.58,"1.31,1.30,2.21",3,9,2,10,3
O046,8,11,standard,3.0,1.6,3,2,5.22,8.44,3.73,"2.21,1.09,1.93",3,9,2,10,3
O083,8,11,standard,3.0,1.6,3,3,8.16,10.04,4.16,"1.67,3.89,2.59",3,9,2,10,3
O003,8,11,economy,1.0,1.0,2,1,3.95,6.05,2.85,"2.43,1.52",3,9,2,10,3
O073,8,11,economy,1.0,1.0,1,1,2.46,4.61,2.03,2.46,3,9,2,10,3
O012,9,11,priority,7.0,2.4,1,1,4.41,4.88,2.18,4.41,2,10,1,10,2
O024,9,11,standard,3.0,1.6,2,2,3.85,7.11,3.12,"2.59,1.25",2,10,1,10,2
O101,9,11,standard,3.0,1.6,1,1,1.1,4.82,2.08,1.10,2,10,1,10,2
O110,9,11,economy,1.0,1.0,6,3,10.65,13.18,5.86,"2.20,3.20,0.74,1.50,1.17,1.83",2,10,1,10,2
O023,10,11,priority,7.0,2.4,1,1,0.71,4.73,1.99,0.71,1,11,0,10,1
O032,10,11,priority,7.0,2.4,1,1,1.94,4.79,2.13,1.94,1,11,0,10,1
O104,10,11,priority,7.0,2.4,1,1,1.43,4.51,2.15,1.43,1,11,0,10,1
O006,10,11,standard,3.0,1.6,2,2,3.15,7.23,3.02,"2.07,1.09",1,11,0,10,1
O100,10,11,standard,3.0,1.6,2,2,2.39,6.89,2.8,"0.95,1.44",1,11,0,10,1
